Movies,Director,Actors,Year
Raaz 3: The Third Dimension,Vikram Bhatt,"Emraan Hashmi, Bipasha Basu, Esha Gupta[60]",2012
Chal Pichchur Banate Hain,Pritish Chakraborty,"Rahil Tandon, Bhavna Ruparel[61]",2012
Jeena Hai Toh Thok Daal,Manish Vatsalya,"Ravi Kishan, Yashpal Sharma, Govind Namdev, Hazel Crowney, Sharat Saxena[63]",2012
Heroine,Madhur Bhandarkar,"Kareena Kapoor, Arjun Rampal, Randeep Hooda, Mugdha Godse, Raqesh Bapat, Divya Dutta, Lillete Dubey[64]",2012
Kamaal Dhamaal Malamaal,Priyadarshan,"Paresh Rawal, Om Puri, Nana Patekar, Shreyas Talpade, Rajpal Yadav, Nyra Banerjee[65]",2012
OMG – Oh My God!,Umesh Shukla,"Paresh Rawal, Akshay Kumar, Mithun Chakraborty, Nidhi Subbaiah, Lubna Salim, Prabhu Deva, Sonakshi Sinha[66]",2012
English Vinglish,Gauri Shinde,"Sridevi, Priya Anand, Mehdi Nebbou, Amitabh Bachchan[67]",2012
Kismat Love Paisa Dilli,Sanjay Khanduri,"Vivek Oberoi, Mallika Sherawat[68]",2012
Aiyyaa,Sachin Kundalkar,"Rani Mukerji, Prithviraj Sukumaran[69]",2012
Login,Sanjeev Reddy,"Himansu Bhatt, Radhika Roy, Akkash Basant, Rashmi Gautam, Nandini Rai[70]",2012
Chittagong,Bedabrata Pain,"Manoj Bajpai, Vega Tamotia, Nawazuddin Siddiqui, Barry John[71]",2012
Bhoot Returns,Ram Gopal Verma,"Manisha Koirala, J. D. Chakravarthy[72]",2012
Student of the Year,Karan Johar,"Sidharth Malhotra, Alia Bhatt, Varun Dhawan, Rishi Kapoor[73]",2012
Delhi Safari,Nikhil Advani,"Voice-over by Akshaye Khanna, Suniel Shetty, Urmila Matondkar, Boman Irani, Govinda, Swini Khara[74]",2012
Chakravyuh,Prakash Jha,"Arjun Rampal, Abhay Deol, Esha Gupta, Manoj Bajpai, Kabir Bedi[75]",2012
Ajab Gazabb Love,Sanjay Gadhvi,"Jackky Bhagnani, Nidhi Subbaiah, Arjun Rampal, Darshan Jariwala, Kirron Kher[76]",2012
Rush,"Shamin Desai, Priyanka Desai","Emraan Hashmi, Neha Dhupia, Sagarika Ghatge, Aditya Pancholi[77]",2012
Luv Shuv Tey Chicken Khurana,Sameer Sharma,"Kunal Kapoor, Huma Qureshi[78]",2012
1920: The Evil Returns,Bhushan Patel,"Aftab Shivdasani, Tia Bajpai, Vidya Malvade[79]",2012
Ata Pata Laapata,Rajpal Yadav,"Rajpal Yadav, Ashutosh Rana, Asrani[80]",2012
Sons of Ram,Kushal Ruia,"Voice over by Sunidhi Chauhan, Aditya Kapadia, Devansh Doshi, Saptharishi Ghosh[81]",2012
Future To Bright Hai Ji,Sanjay Amar,"Aamir Bashir, Sonal Sehgal, Satish Kaushik[82]",2012
Son Of Sardaar,Ashwni Dhir,"Ajay Devgn, Sanjay Dutt, Juhi Chawla, Sonakshi Sinha[84]",2012
Khiladi 786,Ashish R Mohan,"Akshay Kumar, Asin, Mithun Chakraborty, Raj Babbar, Himesh Reshammiya, Paresh Rawal[86]",2012
The Last Act,12 directors,Saurabh Shukla[87],2012
Cigarette Ki Tarah,Akashaditya Lama,"Bhoop Yaduvanshi, Prashant Narayanan, Madhurima Tuli, Sudesh Berry[88]",2012
Mysterious Girl,,"Uday Kiran, Venya",2012
Dhoom 3,,,2013
Chennai Express,,,2013
Krrish 3,,,2013
Yeh Jawaani Hai Deewani,,,2013
Aashiqui 2,,,2013
Goliyon Ki Raasleela Ram-Leela,,,2013
Vishwaroopam,,,2013
Bhaag Milkha Bhaag,,,2013
Race 2,,,2013
Grand Masti,,,2013
Table No. 21,Aditya Datt,"Paresh Rawal, Rajeev Khandelwal, Tina Desai",2013
Dehraadun Diary,Milind Ukey,"Adhyayan Suman, Rohit Bakshi, Ragini Nandwani, Ashwini Kalsekar, Rati Agnihotri",2013
Syed Noor,Gurdeep Singh Mehndi,Comedy,2013
Matru Ki Bijlee Ka Mandola,Vishal Bhardwaj,"Imran Khan, Anushka Sharma, Pankaj Kapur",2013
Pyaar Mein Aisa Hota Hai,Rajesh Kumar,"Mohd Nazim, Aanamika Bawa, Rohit Rajawat, Aayushi Sharma",2013
Gangoobai,Priya Krishnaswamy,"Sarita Joshi, Purab Kohli, Mita Vasisht",2013
Inkaar,Sudhir Mishra,"Arjun Rampal, Chitrangada Singh, Deepti Naval, Kanwaljit Singh",2013
Mumbai Mirror,Ankush Bhatt,"Sachiin Joshi, Gihana Khan, Prakash Raj",2013
Bandook,Aditya Om,"Aditya Om, Manisha Kelkar, Arshad Khan",2013
Akaash Vani,Luv Ranjan,"Kartik Tiwari, Nushrat Bharucha",2013
Rajiv S. Ruia,"Hrithik Roshan, Juhi Chawla, Rajneesh Duggal, Misti Mukherjee, Katrina Kaif",Animation/musical,2013
Deewana Main Deewana,K.C. Bokadia,"Govinda, Priyanka Chopra",2013
David,Bejoy Nambiar,"Vikram, Lara Dutta, Vinay Virmani, Neil Nitin Mukesh, Tabu",2013
Mai...,Mahesh Kodiyal,"Asha Bhosle, Ram Kapoor, Padmini Kolhapure",2013
Listen... Amaya,Avinash Kumar Singh,"Farooq Sheikh, Deepti Naval, Swara Bhaskar",2013
Special 26,Neeraj Pandey,"Akshay Kumar, Kajal Aggarwal, Manoj Bajpayee, Anupam Kher, Jimmy Sheirgill[19]",2013
ABCD: Any Body Can Dance,Remo D'Souza,"Prabhu Deva, Ganesh Acharya, Kay Kay Menon, Lauren Gottlieb, Punit Pathak, Dharmesh Yelande, Salman Yusuff Khan",2013
The Unsound,Alok Shrivastava,"Shadaab Khan, Anurita Jha[20]",2013
Jayantabhai Ki Luv Story,Vinnil Markan,"Vivek Oberoi, Neha Sharma[21]",2013
Murder 3,Vishesh Bhatt,"Randeep Hooda, Aditi Rao Hydari, Sara Loren",2013
Kai Po Che!,Abhishek Kapoor,"Sushant Singh Rajput, Rajkumar Rao, Amit Sadh, Amrita Puri",2013
Zila Ghaziabad,Anand Kumar,"Arshad Warsi, Vivek Oberoi, Sanjay Dutt, Minissha Lamba, Ravi Kishan, Paresh Rawal",2013
"I, Me Aur Main",Kapil Sharma,"John Abraham, Prachi Desai, Chitrangda Singh",2013
Bloody Isshq,Arup Dutta,"Akash Singh, Shilpa Anand, Tripta Parashar",2013
The Attacks of 26/11,Ram Gopal Varma,Nana Patekar,2013
"Saheb, Biwi Aur Gangster Returns",Tigmanshu Dhulia,"Jimmy Sheirgill, Mahie Gill, Irrfan Khan, Soha Ali Khan",2013
Saare Jahaan Se Mehnga,Anshul Sharma,"Sanjay Mishra, Ranjan Chhabra, Disha Pandey, Vishwa Mohan Badola, Pramod Pathak, Zakir Hussain",2013
3G - A Killer Connection,"Shantanu, Sheershak Anand","Neil Nitin Mukesh, Sonal Chauhan",2013
Asab Bosana Mera Story Hai,"Shoresa Khan, Herisa Sharma","Arjun Mathur, Gabriela Bertante",2013
Mere Dad Ki Maruti,Ashima Chibber,"Saqib Saleem, Ram Kapoor, Rhea Chakraborty, Prabal Panjabi",2013
Jolly LLB,Subhash Kapoor,"Arshad Warsi, Amrita Rao, Boman Irani, Saurabh Shukla",2013
Rangrezz,Priyadarshan,"Jackky Bhagnani, Priya Anand, Rajpal Yadav, Evelyn Sharma",2013
The Adventures of Sinbad,"Shinjan Neogi, Abhishek Panchal","Vaibhav, Manju",2013
Sona Spa,,,2013
Himmatwala,Sajid Khan,"Ajay Devgn, Tamannaah, Mahesh Manjrekar, Riteish Deshmukh",2013
Chashme Baddoor,David Dhawan,"Ali Zafar, Siddharth, Taapsee Pannu, Divyendu Sharma[39]",2013
Nautanki Saala,Rohan Sippy,"Ayushmann Khurrana, Kunaal Roy Kapur, Pooja Salvi, Evelyn Sharma[40]",2013
Commando: A One Man Army,Dilip Ghosh,"Vidyut Jamwal, Pooja Chopra, Jaideep Ahlawat[41]",2013
Ek Thi Daayan,Kannan Iyer,"Emraan Hashmi, Huma Qureshi, Konkona Sen Sharma, Kalki Koechlin[42]",2013
Shree,Rajesh Bachchani,"Hussain Kuwajerwala, Paresh Ganatra, Anjali Patil[44]",2013
Shootout at Wadala,Sanjay Gupta,"John Abraham, Anil Kapoor, Kangana Ranaut, Manoj Bajpayee, Sonu Sood, Tushar Kapoor, Ronit Roy, Mahesh Manjrekar, Karan Patel, Jackie Shroff, Raju Kher[45]",2013
Bombay Talkies,"Anurag Kashyap, Karan Johar, Zoya Akhtar, Dibakar Banerjee","Rani Mukerji, Nawazuddin Siddiqui, Randeep Hooda, Saqib Saleem, Sadashiv Amrapurkar, Katrina Kaif[46]",2013
Chhota Bheem and the Throne of Bali,Rajiv Chilaka,,2013
Go Goa Gone,"Raj Nidimoru, Krishna D.K.","Saif Ali Khan, Kunal Khemu, Vir Das, Puja Gupta[48]",2013
Gippi,Sonam Nair,"Riya Vij, Divya Dutta, Taaha Shah[49]",2013
Aurangzeb,Atul Sabharwal,"Arjun Kapoor, Prithviraj Sukumaran, Jackie Shroff, Rishi Kapoor, Sasha Agha[50]",2013
I Don't Luv U,Amit Kasaria,"Ruslaan Mumtaz, Chetna Pande[51]",2013
Beehad - The Ravines,Krishna Mishra,"Vikas Shrivastav, Maan Singh Deep, Mangal Singh, Deepa",2013
Ishkq in Paris,Prem Raj,"Preity Zinta, Rhehan Malliek, Isabelle Adjani[52]",2013
Hum Hai Raahi Car Ke,Jyotin Goel,"Adah Sharma, Dev Goel, Sanjay Dutt, Juhi Chawla, Chunky Pandey[53]",2013
Zindagi 50-50,Rajiv S. Ruia,"Riya Sen, Rajan Verma, Veena Malik, Arya Babbar, Supriya Kumari, Rajpal Yadav[54]",2013
Yamla Pagla Deewana 2,Sangeeth Sivan,"Dharmendra, Sunny Deol, Bobby Deol, Neha Sharma, Kristina Akheeva[56]",2013
Mere Haule Dost,Nitin Raghunath,"Anirudh Loka, Raghuvardhan Garlapati, Aadil Abedi",2013
Fukrey,Mrigdeep Singh Lamba,"Pulkit Samrat, Manjot Singh, Ali Fazal, Richa Chadda, Vishakha Singh, Priya Anand, Pankaj Tripathi[57]",2013
Ankur Arora Murder Case,Suhail Tatari,"Kay Kay Menon, Paoli Dam, Arjun Mathur, Vishakha Singh, Harsh Chhaya[58]",2013
Raanjhanaa,Anand L. Rai,"Dhanush, Sonam Kapoor, Abhay Deol, Swara Bhaskar, Mohammed Zeeshan Ayyub[59]",2013
Enemmy,Ashu Trikha,"Mithun Chakraborty, Sunil Shetty, Mahakshay Chakraborty, Kay Kay Menon, Johnny Lever, Mahesh Manjrekar, Yuvika Chaudhary[60]",2013
Shortcut Romeo,Susi Ganeshan,"Neil Nitin Mukesh, Ameesha Patel, Puja Gupta[61]",2013
Hai Golmaal In White House,Salar Sheikh,"Rajpal Yadav, Govind Namdeo, Pratima Kazmi",2013
Ghanchakkar,Rajkumar Gupta,"Emraan Hashmi, Vidya Balan, Rajesh Sharma[62]",2013
Lootera,Vikramaditya Motwane,"Ranveer Singh, Sonakshi Sinha[63]",2013
Policegiri,K. S. Ravikumar,"Sanjay Dutt, Prakash Raj, Om Puri, Prachi Desai[64]",2013
Sixteen,Raj Purohit,"Izabelle Leite, Darshan Jariwala, Wamiqa Gabbi, Highphill Mathew, Rohan Mehra[citation needed]",2013
Boyss Toh Boyss Hain,Amit Vats,"Raj Kumar Yadav, Anshuman Jha, Divya Dutta, Sharat Saxena, Dhruv Ganesh, Aarya Kumar[66]",2013
Shorts,"Shlok Sharma, Siddharth Gupt, Anirban Roy, Rohit Pandey, Neeraj Ghaywan","Nawazuddin Siddiqui, Huma Qureshi, Richa Chadda, Vineet Kumar Singh",2013
Ramaiya Vastavaiya,Prabhudeva,"Girish Kumar, Shruti Haasan[67]",2013
D Day,Nikhil Advani,"Arjun Rampal, Rishi Kapoor, Shruti Haasan, Irrfan Khan, Huma Qureshi[68]",2013
Ship of Theseus,Anand Gandhi,"Aida Al-Khashef, Niraj Kabi, Sohum Shah, Vinay Shukla[citation needed]",2013
Issaq,Manish Tiwary,"Prateik Babbar, Amyra Dastur, Rajeshwari Sachdev, Evelyn Sharma, Ravi Kishan, Makarand Deshpande[69]",2013
Bajatey Raho,Shashant Shah,"Vinay Pathak, Ranvir Shorey, Ravi Kishan, Dolly Ahluwalia[70]",2013
Luv U Soniyo,Joe Rajan,"Tanuj Virwani, Neha Hinge[71]",2013
Nasha,Amit Saxena,"Poonam Pandey, Shivam, Ranbir Chakma[72]",2013
Rabba Main Kya Karoon,Amrit Sagar Chopra,"Arshad Warsi, Akash Chopra, Paresh Rawal[73]",2013
Chor Chor Super Chor,K. Rajesh,"Deepak Dobriyal, Anshul Kataria, Priya Bathija, Paru Uma[74]",2013
B.A. Pass,Ajay Bahl,"Shilpa Shukla, Shadab Kamal, Rajesh Sharma[75]",2013
Calapor,Dinesh P. Bhonsle,"Rituparna Sengupta, Priyanshu Chatterjee, Raghubir Yadav, Harsh Chhaya[76]",2013
Love in Bombay,Joy Mukherjee,"Joy Mukherjee, Waheeda Rehman, Kishore Kumar, Ashok Kumar, Rehman[77]",2013
Once Upon ay Time in Mumbai Dobaara!,Milan Luthria,"Akshay Kumar, Imran Khan, Sonakshi Sinha, Sonali Bendre, Mahesh Manjrekar[79]",2013
Madras Cafe,Shoojit Sircar,"John Abraham, Nargis Fakhri, Raashii Khanna",2013
Satyagraha,Prakash Jha,"Amitabh Bachchan, Ajay Devgn, Kareena Kapoor, Arjun Rampal, Amrita Rao, Manoj Bajpai[80]",2013
Zanjeer,Apoorva Lakhia,"Ram Charan, Priyanka Chopra, Sanjay Dutt, Mahie Gill, Prakash Raj, Atul Kulkarni[81]",2013
Shuddh Desi Romance,Maneesh Sharma,"Sushant Singh Rajput, Parineeti Chopra, Vaani Kapoor, Rishi Kapoor[82]",2013
Zindagi Jalebi,Karan Kashyap,"Avinash Bhargava, Leena, Samarth Chaturvedi",2013
Siddharth,Richie Mehta,Rajesh Tailang,2013
John Day,Ahishor Solomon,"Naseeruddin Shah, Randeep Hooda[84]",2013
Horror Story,Ayush Raina,"Karan Kundra, Nishant Singh Malkani, Ravish Desai, Hasan Zaidi, Sheetal Singh, Aparna Bajpai, Radhika Menon, Nandini Vaid[85]",2013
Phata Poster Nikhla Hero,Rajkumar Santoshi,"Shahid Kapoor, Ileana D'Cruz, Parul Yadav, Padmini Kolhapure, Darshan Jariwala[86]",2013
The Lunchbox,Ritesh Batra,"Irrfan Khan, Nawazuddin Siddiqui, Bharati Achrekar[87]",2013
Warning,Gurmmeet Singh,"Santosh Barmola, Suzana Rodrigues, Manjari Fadnis, Varun Sharma, Jitin Gulati, Sumit Suri, Madhurima Tuli[88]",2013
Maazii,Jaideep Chopra,"Sumeet Nijhawan, Mona Wasu, Pankaj Tripathi, Mohd. Zeeshan Ayyub, Manish Chaudhary[89]",2013
Prague,Ashish R Shukla,"Chandan Roy Sanyal, Elena Kazan, Arfi Lamba, Kumar Mayank[90]",2013
Super Model,Navin Batra,"Veena Malik, Ashmit Patel, Jackie Shroff[91]",2013
Besharam,Abhinav Kashyap,"Ranbir Kapoor, Pallavi Sharda, Rishi Kapoor, Neetu Singh[92]",2013
War Chhod Na Yaar,Faraz Haider,"Sharman Joshi, Jaaved Jaaferi, Soha Ali Khan, Sanjay Mishra[93]",2013
Baat Bann Gayi,Shuja Ali,"Ali Fazal, Gulshan Grover, Anisa[94]",2013
Ekk Thee Sanam,Monish Kaushal,"Nisha Triloki, Rajender Thakur, Gopal Thakur[95]",2013
Paapi - Ek Satya Katha,Aziz Sejawal,"Arya Babbar, Prosenjit Chatterjee, Sayantika Banerjee, Pooja Bharti, Rajesh Sharma, Harish Patel[96]",2013
Boss,Anthony D'Souza,"Akshay Kumar, Mithun Chakraborty, Danny Denzongpa, Ronit Roy, Aditi Rao Hydari, Shiv Panditt, Johny Lever[97]",2013
Shahid,Hansal Mehta,"Rajkummar Rao, Tigmanshu Dhulia, Kay Kay Menon, Prabal Panjabi[98]",2013
Wake Up India,Babloo Seshadri,"Chirag Patil, Sai Tamhankar, Manoj Joshi, Aanjjan Srivastav, Mukesh Tiwari, Mohan Joshi, Milind Gunaji, Anant Jog, Adi Irani, Mushtaq Khan, Atul Parchure, Asrani, Anjula Singh Mahor[99]",2013
Amdavad Junction,Apurv Bajpai,"Rohan Jardosh, Saurabh Singh, Gunjan Vyas, Touqeer Khan, Ishita Salot, Devendra Trivedi, Hitesh Patel, Swapna Nair[100]",2013
Dilli Gang,Ashish Tyagi,"Darshan Jariwala, Neena Kulkarni, Yashpal Sharma, Amir Dalvi, Asif Basra, Asif Ali[101]",2013
Mickey Virus,Saurabh Varma,"Manish Paul, Elli Avram, Varun Badola, Manish Chaudhary, Puja Gupta[102]",2013
Ishk Actually,Anish Khanna,"Rajeev Khandelwal, Raayo S Bakhirta, Neha Ahuja, Ann Mitchai, Neha Ghelot, Siddharth Van Shipley[103]",2013
Sooper Se Ooper,Shekhar Ghosh,"Vir Das, Kirti Kulhari, Gulshan Grover, Deepak Dobriyal, Yashpal Sharma[104]",2013
Satya 2,Ram Gopal Varma,"Puneet Singh Ratn, Anaika Soti,[106] Mahesh Thakur, Aradhna Gupta,[107][108] Raj Premi, Vikram Singh[109]",2013
Rajjo,Vishwas Patil,"Kangana Ranaut, Paras Arora, Mahesh Manjrekar, Prakash Raj, Jaya Prada",2013
Kaand: Black Scandal,Santosh K. Gupta,"Suraj K. Shah, J. B. Rana, Dipanshi",2013
Gori Tere Pyaar Mein,Punit Malhotra,"Imran Khan, Kareena Kapoor, Shraddha Kapoor, Anupam Kher[111]",2013
Singh Saab The Great,Anil Sharma,"Sunny Deol, Amrita Rao, Johny Lever, Urvashi Rautela[112]",2013
Bullett Raja,Tigmanshu Dhulia,"Saif Ali Khan, Sonakshi Sinha, Jimmy Sheirgill, Vidyut Jamwal, Chunky Pandey[113]",2013
R... Rajkumar,Prabhudeva,"Shahid Kapoor, Sonakshi Sinha, Sonu Sood, Asrani, Ashish Vidyarthi[114]",2013
Jackpot,Kaizad Gustad,"Sachiin J Joshi, Naseeruddin Shah, Sunny Leone[115]",2013
What the Fish,Gurmmet Singh,"Dimple Kapadia, Manu Rishi, Manjot Singh, Anand Tiwari",2013
PK,,,2014
Kick,,,2014
Happy New Year,,,2014
Bang Bang!,,,2014
Singham Returns,,,2014
Jai Ho,,,2014
Holiday: A Soldier Is Never Off Duty,,,2014
2 States,,,2014
Ek Villain,,,2014
Gunday,,,2014
Mr Joe B. Carvalho,Samir Tiwari,"Arshad Warsi, Soha Ali Khan, Javed Jaffrey, Vijay Raaz",2014
19th January,Sanjay Amar,"Deepti Naval, K. K. Raina, Bidita Baig, Madhuri Bhatia",2014
Sholay 3D,Ramesh Sippy,"Dharmendra, Amitabh Bachchan, Hema Malini, Jaya Bhaduri, Sanjeev Kumar, Amjad Khan, A.K. Hangal",2014
Dedh Ishqiya,Abhishek Chaubey,"Naseeruddin Shah, Arshad Warsi, Madhuri Dixit, Huma Qureshi",2014
Yaariyan,Divya Khosla Kumar,"Himansh Kohli, Shreyas Pardiwalla, Dev Sharma, Nicole Faria, Rakul Preet Singh",2014
Karle Pyaar Karle,Rajesh Pandey,"Shiv Darshan, Hasleen Kaur",2014
Miss Lovely,Ashim Ahluwalia,"Nawazuddin Siddiqui, Niharika Singh",2014
Om-Dar-B-Dar,Kamal Swaroop,"Aditya Lakhia, Manish Gupta, Anita Kanwar, Gopi Desai",2014
Paranthe Wali Gali,Sachin Gupta,"Anuj Saxena, Neha Pawar, Mohinder Gujral, Vijayant Kohli, Himanshu Thakkar, Yuvraj Haral",2014
Strings of Passion,Sanghamitra Chaudhari,"Zeenat Aman, Indrani Haldar, Shubh Mukherjee, Rajesh Sharma",2014
One by Two,Devika Bhagat,"Abhay Deol, Preeti Desai, Rati Agnihotri, Jayant Kripalani, Darshan Jariwala, Lilette Dubey, Anish Trivedi",2014
Babloo Happy Hai,Nila Madhab Panda,"Sahil Anand, Erica Fernandes, Preet Kamal, Sumit Suri, Amol Parashar, Reyhna Malhotra, Parvin Dabas, Anu Choudhury, Pooja Tawde, Khusbhoo Purohit, Mika Singh",2014
Hasee Toh Phasee,Vinil Mathew,"Sidharth Malhotra, Parineeti Chopra, Adah Sharma",2014
Heartless,Shekhar Suman,"Adhyayan Suman, Ariana Ayam, Om Puri, Deepti Naval, Madan Jain, Shekhar Suman",2014
Ya Rab,Hasnain Hyderabadwala,"Manzar Sehbai, Ajaz Khan, Akhilendra Mishra, Raju Kher, Kishori Shahane, Vikram Singh",2014
Kaho Na Kaho,Sanjay Niranjan,"Sikandar, Roshni, Raja",2014
Darr @ the Mall,Pawan Kripalani,"Jimmy Sheirgill, Nushrat Bharucha, Arif Zakaria, Asif Basra, Nivedita Bhattacharya",2014
Dee Saturday Night,Jay Prakash,"Prashant Narayanan, Arif Zakaria, Aman Verma, Mahi Khanduri, Gaurav Dixit, Nazneen Patel",2014
Gulabi Gang,Nishtha Jain,Sampat Pal Devi,2014
Highway,Imtiaz Ali,"Randeep Hooda, Alia Bhatt",2014
Karar: The Deal,Sabir,"Tarun Arora, Mahek Chahal, Jyothi Rana",2014
Pyar Ka Live Show,Shailendra Singh Rajput,"Ishrat Ali, Rudraksh Pundhir, Rajni Mehta, Upasana Singh, Mushtaq Khan, Adi Irani, Shiva Rindan",2014
The Dark Secrets Of Tonhi,Shiraz Henry,"Natasha Sikka, J. Brandon Hill, Alex Peters, Smitha Siah, Priyanka Joshi",2014
Anuradha,Raju Mavani,"Sachin Khedekar, Smita Jaykar, Disha Choudhary, Shagun Sharma, Rahul Jain, Manoj Joshi, Kishori Shahane, Hrishitaa Bhatt, Aakash Sharma, Raju Mavani, Ganesh Acharya, Manoj Tiwari, Prashant Upadhyay",2014
Shaadi Ke Side Effects,Saket Chaudhary,"Farhan Akhtar, Vidya Balan, Vir Das, Ram Kapoor, Gautami Kapoor, Purab Kohli, Rati Agnihotri",2014
Akela The Alone,Abrar Qazi,"Rizwan Qazi, Qasim Bilal, Adil Ahmed",2014
Gulaab Gang,Soumik Sen,"Madhuri Dixit, Juhi Chawla",2014
Queen,Vikas Bahl,"Kangana Ranaut, Rajkummar Rao, Lisa Haydon",2014
Total Siyapaa,E Niwas,"Ali Zafar, Yami Gautam, Sara Khan, Anupam Kher, Kiron Kher",2014
Bewakoofiyaan,Nupur Asthana,"Ayushmann Khurrana, Sonam Kapoor, Rishi Kapoor",2014
Neighbours,Shyam Ramsay,"Arbaaz Ali Khan, Roushika Reikhi, Shakti Kapoor, Gavie Chahal, Rufy Khan, Hritu Dudani, Kirti Vaidhya, Prince Sodhi, Sunny Singh",2014
W,Tarun Madan Chopra,"Danish Pandor, Raaj Singh Arora, Leslie Tripathy, Sonal Giani, Meer Ali, Abhey Attri",2014
Ankhon Dekhi,Rajat Kapoor,"Sanjay Mishra, Rajat Kapoor, Samit Das, Brijendra Kala",2014
Gang of Ghosts,Satish Kaushik,"Parambrata Chatterjee, Sharman Joshi, Mahie Gill, Anupam Kher, Meera Chopra, Saurabh Shukla, Chunky Pandey",2014
Lakshmi,Nagesh Kukunoor,"Monali Thakur, Satish Kaushik, Shefali Shetty, Ram Kapoor",2014
Ragini MMS 2,Bhushan Patel,"Sunny Leone, Parvin Dabas, Divya Dutta",2014
Dishkiyaoon,Sanamjit Talwar,"Sunny Deol, Harman Baweja, Ayesha Khanna, Prashant Narayanan",2014
O Teri,Umesh Bist,"Pulkit Samrat, Sarah-Jane Dias, Bilal Amrohi, Anupam Kher, Mandira Bedi, Vijay Raaz, Manoj Pahwa",2014
Station,Saad Khan,"Sameer Kevin Roy, Kanika Batra, Vibhinta Verma, Siddhanth Sundar",2014
Youngistaan,Syed Ahmad Afzal,"Jackky Bhagnani, Neha Sharma, Farooq Shaikh, Boman Irani",2014
Ebn-E-Batuta,Varun Middha,"Omkar Das Manikpuri, Rajeev Verma, Dev Gohar, Satyendra Khare, Nazea Sayed, Neelam Singh",2014
Honour Killing,Avtar Bhogal,"Zara Sheikh, Sandeep Singh, Tom Alter, Gulshan Grover, Prem Chopra",2014
Jal,Girish Malik,"Purab Kohli, Tannishtha Chatterjee, Kirti Kulhari, Yashpal Sharma",2014
Main Tera Hero,David Dhawan,"Varun Dhawan, Ileana D'Cruz, Nargis Fakhri, Abhimanyu Singh, Evelyn Sharma",2014
Bhoothnath Returns,Nitesh Tiwari,"Amitabh Bachchan, Parth Bhalerao, Boman Irani, Anurag Kashyap, Usha Jadhav",2014
Dekh Tamasha Dekh,Feroz Abbas Khan,"Satish Kaushik, Ganesh Yadav",2014
Lucky Kabootar,Shammi Chhabra,"Ravi Kishan, Eijaz Khan, Kulraj Randhawa, Shraddha Das, Sanjay Mishra, Madhavi Sharma",2014
Kaanchi: The Unbreakable,Subhash Ghai,"Mishti, Kartik Aaryan, Rishi Kapoor, Mithun Chakraborty",2014
Revolver Rani,Sai Kabir,"Kangana Ranaut, Vir Das, Piyush Mishra, Zakir Hussain",2014
Samrat & Co.,Kaushik Ghatak,"Rajeev Khandelwal, Madalasa Sharma",2014
Purani Jeans,Tanushri Chattrji Bassu,"Tanuj Virwani, Aditya Seal, Izabelle Leite, Sarika, Rati Agnihotri",2014
Kya Dilli Kya Lahore,Vijay Raaz,"Vijay Raaz, Manu Rishi, Raj Zutshi, Vishwajeet Pradhan",2014
Angry Young Man,Ramesh Rout,"Ajay Sinh Rathod, Prachi Sinha",2014
Kahin Hai Mera Pyar,Mahesh Vaijnath Doijode,"Abhishek Sethiya, Sonia Mann, Sanjay Kapoor, Jackie Shroff",2014
Hawaa Hawaai,Amole Gupte,"Partho Gupte, Saqib Saleem, Pragya Yadav",2014
Khwaabb,Zaid Ali Khan,"Navdip Singh, Simer Motiani, Nafisa Ali, Bajrang Bali Singh",2014
Koyelaanchal,Ashu Trikha,"Vinod Khanna, Suniel Shetty, Vipino",2014
Manjunath,Sandeep A. Varma,"Divya Dutta, Seema Biswas, Asif Basra, Yashpal Sharma",2014
Mastram,Akhilesh Jaiswal,"Rahul Bagga, Tara Alisha Berry",2014
Yeh Hai Bakrapur,Janaki Vishwanathan,"Anshuman Jha, Asif Basra, Amit Sial, Uttkarsh Majumdar, Faiz Mohammad, Suruchi Aulakh, Yaushika Verma, Shamim Khan",2014
The Xposé,Ananth Narayan Mahadevan,"Himesh Reshammiya, Sonali Raut, Yo Yo Honey Singh, Zoya Afroz, Irrfan Khan. Adil Hussain",2014
Children of War,Mrityunjay Devvrat,"Farooq Shaikh, Victor Banerjee, Pawan Malhotra, Indraneil Sengupta",2014
M3 - Midsummer Midnight Mumbai,Braj Bhushan,"Paras Chhabra, Sara Khan, M.A. Guddu, Pooja Thakur",2014
Heropanti,Sabbir Khan,"Tiger Shroff, Kriti Sanon & Prakash Raj",2014
CityLights,Hansal Mehta,"Rajkummar Rao, Patralekha",2014
Kuku Mathur Ki Jhand Ho Gayi,Aman Sachdeva,"Siddharth Gupta, Simran Kaur Mundi, Pallavi Batra",2014
Filmistaan,Nitin Kakkar,"Sharib Hashmi, Inaamulhaq, Kumud Mishra, Gopal Dutt",2014
Fugly,Kabir Sadanand,"Jimmy Sheirgill, Mohit Marwah, Kiara Advani, Vijender Singh, Arfi Lamba",2014
Machhli Jal Ki Rani Hai,Debaloy Dey,"Bhanu Uday, Swara Bhaskar, Murali Sharma, Reema Debnath, Sakha Kalyani Deepraj Rana",2014
Humshakals,Sajid Khan,"Saif Ali Khan, Esha Gupta, Riteish Deshmukh, Bipasha Basu, Ram Kapoor, Tamannaah Bhatia",2014
Bobby Jasoos,Samar Shaikh,"Vidya Balan, Ali Fazal, Arjan Bajwa, Anupriya Kapoor, Supriya Pathak, Tanvi Azmi",2014
