Movies,Director,Actors,Year
Awara Paagal Deewana,Vikram Bhatt,,2002
Company,Ram Gopal Verma,,2002
16-Dec,Mani Shankar,"Milind Soman, Dipannita Sharma, Gulshan Grover, Aditi Govitrikar, Sushant Singh",2002
23rd March 1931: Shaheed,Guddu Dhanoa,"Sunny Deol, Bobby Deol, Divya Dutta, Amrita Singh, Aishwarya Rai, Rajesh Khera",2002
Aap Mujhe Achche Lagne Lage,Vikram Bhatt,"Hrithik Roshan, Amisha Patel, Ali Asgar, Mukesh Tiwari, Alok Nath",2002
Ab Ke Baras,Raj Kanwar,"Amrita Rao, Arya Babbar, Ashish Vidyarthi",2002
Agni Varsha,Arjun Sajnani,"Amitabh Bachchan, Akkineni Nagarjuna, Jackie Shroff, Raveena Tandon, Milind Soman, Prabhu Deva, Sonali Kulkarni",2002
Akhiyon Se Goli Maare,Harmesh Malhotra,"Govinda, Raveena Tandon, Kader Khan, Johnny Lever, Asrani, Sharat Saxena",2002
Annarth,Ravi Dewan,"Sunil Shetty, Sanjay Dutt, Ashutosh Rana, Preeti Jhangiani, Johny Lever, Tinu Anand",2002
Ansh: The Deadly Part,Rajan Johri,"Om Puri, Ashutosh Rana, Abbas, Sharbani Mukherji",2002
Baaja,Apurba Kishore Bir,,2002
Badhaai Ho Badhaai,Satish Kaushik,"Anil Kapoor, Shilpa Shetty, Kirti Reddy",2002
Bollywood Queen,Jeremy Wooding,"Preeya Kalidas, James McAvoy",2002
Bomb the System,,,2002
Chalo Ishq Ladaaye,Aziz Sejawal,"Govinda, Rani Mukerji, Sanjay Suri, Kader Khan, Zohra Sehgal, Johnny Lever, Suniel Shetty, Gulshan Grover",2002
Chor Machaaye Shor,Aziz Sejawal,"Bobby Deol, Shilpa Shetty, Shekhar Suman, Bipasha Basu, Rajat Bedi, Rajpal Yadav",2002
Deewangee,Anees Bazmee,"Ajay Devgn, Akshaye Khanna, Urmila Matondkar, Tiku Talsania",2002
Desh Devi,Milind Ukey,"Shrivallabh Vyas, Jaya Seal",2002
Dil Hai Tumhaara,Kundan Shah,"Rekha, Preity Zinta, Mahima Chaudhry, Arjun Rampal, Jimmy Sheirgill, Alok Nath",2002
Dil Vil Pyar Vyar,Anant Mahadevan,"Jimmy Sheirgill, Sanjay Suri, Namrata Shirodkar, R. Madhavan, Sonali Kulkarni, Hrishita Bhatt, Rakesh Bapat, Bhavna Pani",2002
Durga,J.D. Chakravarthy,"J.D Chakravarthy, Priyanka Upendra, Snehal Dabi, Sayaji Shinde",2002
Ek Chhotisi Love Story,Shashilal K. Nair,"Ranvir Shorey, Manisha Koirala, Aditya Seal, Vir Das, Anushka Sharma",2002
Encounter: The Killing,Ajay Phansekar,"Naseeruddin Shah, Dilip Prabhavalkar, Tara Deshpande",2002
Filhaal,Meghna Gulzar,"Tabu, Sushmita Sen, Sanjay Suri, Palash Sen",2002
Ghaav: The Wound,Kumar Jay,"Pankaj Berry, Rahul Bhatt, Seema Biswas, Gayatri",2002
Gunaah,Amol Shetge,"Dino Morea, Bipasha Basu, Ashutosh Rana, Irrfan Khan",2002
Haan Maine Bhi Pyaar Kiya,Dharmesh Darshan,"Akshay Kumar, Karisma Kapoor, Abhishek Bachchan, Mohnish Bahl, Upasana Singh",2002
Hathyar,Mahesh Manjrekar,"Sanjay Dutt, Shilpa Shetty, Namrata Shirodkar",2002
Hum Kisise Kum Nahin,David Dhawan,"Amitabh Bachchan, Supriya Karnik, Ajay Devgn, Sanjay Dutt, Aishwarya Rai, Ashish Vidyarthi, Annu Kapoor, Rajpal Yadav, Paresh Rawal, Colin Farrell",2002
Hum Pyar Tumhi Se Kar Baithe,Mohan Singh Rathod,"Jugal Hansraj, Tina Rana",2002
Jaani Dushman: Ek Anokhi Kahani,Rajkumar Kohli,"Sunny Deol, Akshay Kumar, Sunil Shetty, Atharvaa, Arshad Warsi, Aftab Shivdasani, Manisha Koirala",2002
Jang Aur Aman,Anand Patwardhan,,2002
Jeena Sirf Merre Liye,Satish Kaushik,"Tusshar Kapoor, Kareena Kapoor, Mallika Sherawat",2002
Kabhie Tum Kabhie Hum,,"Mamta Kulkarni, Anjan Srivastav, Vijayendra Ghatge",2002
Karz: The Burden of Truth,Harry Baweja,"Sunny Deol, Sunil Shetty, Shilpa Shetty",2002
Kehtaa Hai Dil Baar Baar,Rahul Dholakia,"Jimmy Shergill, Kim Sharma, Paresh Rawal",2002
Kitne Door Kitne Paas,Mehul Kumar,"Fardeen Khan, Ayub Khan, Amrita Arora, Sonali Kulkarni",2002
Koi Mere Dil Se Poochhe,Boney Kapoor,"Jaya Bachchan, Esha Deol, Aftab Shivdasani, Sanjay Kapoor, Anupam Kher",2002
Kranti,Naresh Malhotra,"Bobby Deol, Amisha Patel, Om Puri, Vinod Khanna, Pallavi Kulkarni",2002
Kuch Tum Kaho Kuch Hum Kahein,K. Ravi Shankar,"Fardeen Khan, Richa Pallod, Sharad Kapoor, Sanjai Mishra, Farida Jalal",2002
Kya Yehi Pyaar Hai,K. Murali Mohan Rao,"Amisha Patel, Aftab Shivdasani, Sarfaraz Khan, Ashish Vidyarthi, Jackie Shroff",2002
Kyaa Dil Ne Kahaa,Sanjay Chhel,"Tusshar Kapoor, Esha Deol, Raj Babbar, Atul Parchure",2002
Lal Salaam,Gaganvihari Borate,"Nandita Das, Sharad Kapoor, Makrand Deshpande, Vijay Raaz",2002
Maa Tujhhe Salaam,Tinu Verma,"Sunny Deol, Tabu, Rajat Bedi, Arbaaz Khan, Inder Kumar",2002
Maine Dil Tujhko Diya,Sohail Khan,"Sohail Khan, Sameera Reddy, Eijaz Khan, Sanjay Dutt, Kabir Bedi, Dalip Tahil",2002
Makdee,Vishal Bhardwaj,"Shabana Azmi, Makarand Deshpande",2002
Maseeha,Partho Ghosh,"Sunil Shetty, Namrata Shirodkar, Inder Kumar, Manek Bedi, Rajpal Yadav, Mukesh Rishi",2002
